Business Name,Business Owner,Permit Type,Address,City,State,Zip,Latitude,Longitude,Mapped Location
CAFE FUZION,CHO MICHELLE J,ON/OFF-SALE BEER,231 7TH AVENUE NORTH,NASHVILLE,TN,37209,36.1631386583,-86.7835315645,"231 7TH AVENUE NORTH
NASHVILLE, TN 37209
(36.1631386583, -86.7835315645)"
NASHBORO GOLF CLUB,"TLWP, INC.",ON-SALE BEER,1101 NASHBORO BOULEVARD,NASHVILLE,TN,37217,36.0890486248,-86.6395827027,"1101 NASHBORO BOULEVARD
NASHVILLE, TN 37217
(36.0890486248, -86.6395827027)"
JIMMY BUFFETT'S MARGARITAVILLE,"IMCMV NASHVILLE, LLC",ON-SALE BEER,322 BROADWAY,NASHVILLE,TN,37201,36.161323856,-86.7771175643,"322 BROADWAY
NASHVILLE, TN 37201
(36.161323856, -86.7771175643)"
SAM'S AT THE COVE,"SAMS SPORTS GRILL - OLD HICKORY, LLC",ON-SALE BEER,2001 LAKESHORE DRIVE,OLD HICKORY,TN,37138,36.2509891709,-86.6399339997,"2001 LAKESHORE DRIVE
OLD HICKORY, TN 37138
(36.2509891709, -86.6399339997)"
HAMPTON INN & SUITES GREEN HILLS,ROCHFORD HOTEL GROUP,ON-SALE BEER,2324 CRESTMOOR ROAD,NASHVILLE,TN,37215,36.1093533539,-86.817168014,"2324 CRESTMOOR ROAD
NASHVILLE, TN 37215
(36.1093533539, -86.817168014)"
312 PIZZA COMPANY,"312 PIZZA COMPANY, LLC",ON-SALE BEER,371 MONROE STREET,NASHVILLE,TN,37208,36.1770956073,-86.7879140353,"371 MONROE STREET
NASHVILLE, TN 37208
(36.1770956073, -86.7879140353)"
FIVE POINTS COCINA MEXICANA,M TAYLOR LLC,ON-SALE BEER,972 MAIN STREET,NASHVILLE,TN,37206,36.1776367911,-86.752220408,"972 MAIN STREET
NASHVILLE, TN 37206
(36.1776367911, -86.752220408)"
HURRY BACK,JR FACILITY MANAGEMENT LLC,ON-SALE BEER,2212 ELLISTON PLACE,NASHVILLE,TN,37203,36.1511839796,-86.8045779021,"2212 ELLISTON PLACE
NASHVILLE, TN 37203
(36.1511839796, -86.8045779021)"
404 BAR AND GRILL,"404 MANAGEMENT GROUP, LLC",ON-SALE BEER,404 ELYSIAN FIELDS ROAD,NASHVILLE,TN,37211,36.0867861321,-86.731183867,"404 ELYSIAN FIELDS ROAD
NASHVILLE, TN 37211
(36.0867861321, -86.731183867)"
HYATT PLACE NASHVILLE AIRPORT,DBIK&J NASHVILLE LLC,ON-SALE BEER,721 ROYAL PARKWAY,NASHVILLE,TN,37214,36.14622526,-86.6643462493,"721 ROYAL PARKWAY
NASHVILLE, TN 37214
(36.14622526, -86.6643462493)"
THAI PHOO KET II RESTAURANT,DIPASEUTH BOUNTHAVY DIPASEUTH PHETSAMONE,ON-SALE BEER,915 RIVERGATE PARKWAY,GOODLETTSVILLE,TN,37072,36.2981193077,-86.7004381846,"915 RIVERGATE PARKWAY
GOODLETTSVILLE, TN 37072
(36.2981193077, -86.7004381846)"
MSM FOOD MART,WAHBA MEDHAT F.,OFF-SALE BEER,230 THOMPSON LANE,NASHVILLE,TN,37211,36.1110629591,-86.7422463181,"230 THOMPSON LANE
NASHVILLE, TN 37211
(36.1110629591, -86.7422463181)"
