Library Name,Library Photo,Phone Number,Bus Route,Monday Opening Time,Monday Closing Time,Tuesday Opening Time,Tuesday Closing Time,Wednesday Opening Time,Wednesday Closing Time,Thursday Opening Time,Thursday Closing Time,Friday Opening Time,Friday Closing Time,Saturday Opening Time ,Saturday Closing Time,Sunday Opening Time,Sunday Closing Time,Books and Materials,Downloadable Materials,Streaming Materials,Story Times,Conference Center,Meeting Rooms,Art Gallery,Public Computers,Public Internet,Wireless,Group Study Rooms,Copy Machines,Seed Exchange,Studio NPL,Restrooms,Book Drop,Notes,Location
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,"TN
(35.681402, -85.774444)"
Main,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_main.jpg),615-862-5800,Walking distance from Music City Central,9:00AM,6:00 PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"615 Church Street
Nashville, TN 37219
(36.162414, -86.781895)"
Bellevue,View Photo (http://dataimages.nashville.gov/Metro_Libraries/new-bellevue_cropped.jpg),615-862-5854,"#24x, #31,# 5",10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"720 Baugh Road
Nashville, TN 37221
(36.069242, -86.935419)"
Bordeaux,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_BX.jpg),615-862-5856,#22,10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"4000 Clarksville Pike
Nashville, TN 37218
(36.211684, -86.838746)"
Donelson,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_DO.jpg),615-862-5859,#6,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, , ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"2315 Lebanon Road
Nashville, TN 37214
(36.168936, -86.683548)"
East,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_E.jpg),615-862-5860,"#20, #26",10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"206 Gallatin Avenue
Nashville, TN 37206
(36.17912, -86.750438)"
Edgehill,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EH.jpg),615-862-5861,#17,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1409 12th Avenue, South
Nashville, TN 37203
(36.138982, -86.787715)"
Edmondson Pike,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EP.jpg),615-880-3957,"#37, #72",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"CLOSED for renovation until May 2016
Call library to confirm hours on holidays and in the event of severe weather.","5501 Edmondson Pike
Nashville, TN 37211
(36.044746, -86.744004)"
Goodlettsville,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_go_new_small.jpg),615-862-5862,,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, ,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday. Call library to confirm hours on holidays and in the event of severe weather.,"205 Rivergate Parkway
Goodlettsville, TN 37072
(36.314643, -86.709932)"
Green Hills,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_GH.jpg),615-862-5863,#7,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"3701 Benham Avenue
Nashville, TN 37215
(36.109283, -86.808739)"
