Artwork,Photo,Last Name,First Name,Location,Medium,Project Status,Description,Page Link,Latitude,Longitude,Mapped Location
City Irises (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/93d5f669-c6bc-40da-b15a-6c155d0a084e,Eichman,Jessica,Hermitage Park,Metal,Complete,City Irises uses a playful and colorful design to showcase Tennessee’s state flower.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/City-Irises.aspx,36.177652999999999,-86.615069000000005,"(36.177652999999999, -86.615069000000005)"
Aileron,https://data.nashville.gov/views/eviu-nxp6/files/249990f9-ec30-4352-9795-ff64c7e6f999,Dillon,Michael,McCabe Park Community Center,"Forged iron, bronze",Complete,"Installed spring of 2012 in McCabe Park, Aileron is located west of the entrance at the intersection of 46th Avenue North and Murphy Road. The location, a former airfield, inspired the design of Aileron. Representing the biplane of the early 20thcentury, this 18’ tall 25’ wide sculpture captures upward movement in the supporting structure as well the actual movement of the wing in a 360-degreehorizontal wind activated motion. It was fabricated using traditional blacksmith techniques and tools that were used in the manufacturing of railroad equipment, another historic reference to Sylvan Park.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Aileron.aspx,36.140968999999998,-86.842667000000006,"(36.140968999999998, -86.842667000000006)"
Air Wave (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/c87cdb9b-fd3e-42cd-a1d3-4b29a8992b9d,Hendrix,Suzy,Madison Police Precinct,Powder coated steel tubing,Complete,"Air Wave is as practical as it is conceptual. In homage to all the good musical vibrations created by Nashville, sounds waves flow out from the flanking air pumps.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Air-Wave.aspx,36.272295,-86.689705000000004,"(36.272295, -86.689705000000004)"
Anchor in the Storm (Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/300c12a2-fd6d-4588-8c77-01dd6e51b138,Benson,Lee and Betty,West Park Community Center,"Yellow pine logs, limestone boulder, anchor chain",Complete,"This piece is conceived on the ties between the West Park neighborhood and the Rogers Group Limestone Quarry that is nearby. During the flood, a massive crevasse in a 500 foot limestone wall rechanneled 700 billion gallons of flood waters from the community’s homes and into the quarry. The artists say, “Our work seeks to draw attention to the relationship between the West Park community and the quarry that are now inextricably linked to one another. The quarry played a lifesaving role in the event. We see the raft as a place where people can gather, sit and build community.”",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Anchor-in-the-Storm.aspx,36.161023999999998,-86.863057999999995,"(36.161023999999998, -86.863057999999995)"
Are We There Yet? (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/db8c8547-53e6-422b-9e8d-cd159b4ce3aa,McDaniel,Duncan,Lentz Public Health Center,Powdered covered metals,Complete,"The public art bike rack, Are We there Yet?, is a time-lapse sequence depicting a pair of legs running.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Are-We-There-Yet.aspx,36.155664999999999,-86.813368999999994,"(36.155664999999999, -86.813368999999994)"
Banjo (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/0b490183-b1d4-40ab-bdeb-403600e2d01e,Howse,Ric,Richard H. Fulton Complex,"Mild steel, powder coat",Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Banjo.aspx,36.153345999999999,-86.768642,"(36.153345999999999, -86.768642)"
Corn and Tomatoes (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/9dfe7eba-9d44-432c-a13a-49c41e3b49b2,Easter and Goostree,Paige and Dan,Nashville Farmers' Market,"Mild steel and steel pipe, acrylic and powder coat",Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Corn-and-Tomato.aspx,36.170884999999998,-86.788364000000001,"(36.170884999999998, -86.788364000000001)"
Bellevue Bench Mark (Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/b3298871-0ebb-418b-8aad-27de2c81e09f,Nutt,Craig,Harpeth Knoll Park,Polychrome concrete,Complete,"Craig Nutt’s work is a bench seat derived from maps of the May 2010 flood in Bellevue. A blue line atop the bench traces the riverbed of the Harpeth River as it winds through Bellevue.Artist Craig Nutt writes about his experience participating in the Bellevue community meeting, “...flood experiences ranged from helping neighbors to the loss of family members. The participants portrayed a community that is neighborly, resolute, resilient and proud of the way they pulled together during and after the flood... not victims, but survivors.”",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Bellevue-Bench-Mark.aspx,36.058934000000001,-86.937681999999995,"(36.058934000000001, -86.937681999999995)"
Bicycle Copse (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/c39615bb-80aa-4679-9db1-129362c182ff,Doak,Anice,Suntrust Plaza,Stainless Steel,Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Bicycle-Copse.aspx,36.161906000000002,-86.779003000000003,"(36.161906000000002, -86.779003000000003)"
Capital (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/34d9a0ea-7562-4096-b3a6-7b24ba5490bc,Tidwell,Luke,Nashville Farmers' Market,Stainless Steel,Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Capital.aspx,36.170499,-86.788966000000002,"(36.170499, -86.788966000000002)"
